"System_Dt","Policy_No","Cash_Tran_Deal_Ref","TransactionID","Cash_Tran_Date","Cash_Tran_Description_ID","Cash_Tran_Description","Cash_Tran_Narrative","Cash_Tran_Debit_Amt","Cash_Tran_Credit_Amt","Cash_Tran_Curr_ID","Cash_Tran_Curr","Cash_Tran_FX_Rate","Asset_Tran_Ref"
"2023-10-30","PM10004211","","19270967","2023-10-27","98","Withdrawal","Withdrawal","1222.000000","0.000000","8","GBP","",""
"2023-10-30","PM10005110","","19271041","2023-10-29","26","Establishment Fee","Establishment Fee","339.560000","0.000000","16","USD","",""
"2023-10-30","PM10005110","","19271040","2023-10-29","6","Admin Fee","Flat Administration Fee","219.120000","0.000000","16","USD","",""
"2023-10-30","PM10005110","","19271039","2023-10-29","47","Investment Advisor Fee","Investment Advisor Fee","349.490000","0.000000","16","USD","",""
"2023-10-30","PM10006472","","19271156","2023-10-28","6","Admin Fee","Flat Administration Fee","196.880000","0.000000","16","USD","",""
"2023-10-30","PM10006472","","19271155","2023-10-28","26","Establishment Fee","Establishment Fee","705.650000","0.000000","16","USD","",""
"2023-10-30","PM10006472","","19271154","2023-10-28","47","Investment Advisor Fee","Investment Advisor Fee","748.920000","0.000000","16","USD","",""
"2023-10-30","PM10013372","5595865","19265199","2023-10-27","13","Buy Variable Security","Buy 25429.642 units of TB Evenlode Income Fund B Acc GBP","96358.000000","0.000000","8","GBP","1.000000000000000000","FS36137497"
"2023-10-30","PM10013372","5605316","19264875","2023-10-27","14","Custody Charge","Custody Charge Royal London Short Term Money Market Fund A Acc","40.000000","0.000000","8","GBP","",""
"2023-10-30","PM10013372","5605316","19264873","2023-10-27","15","Dealing Charge","Dealing Charge Royal London Short Term Money Market Fund A Acc","20.000000","0.000000","8","GBP","",""
"2023-10-30","PM10013372","5605320","19264840","2023-10-27","14","Custody Charge","Custody Charge Vanguard FTSE Developed Asia Pacific ex Japan UCITS ETF GBP","40.000000","0.000000","8","GBP","",""
"2023-10-30","PM10013372","5605320","19264838","2023-10-27","15","Dealing Charge","Dealing Charge Vanguard FTSE Developed Asia Pacific ex Japan UCITS ETF GBP","20.000000","0.000000","8","GBP","",""
"2023-10-30","PM10013372","5605319","19264831","2023-10-27","14","Custody Charge","Custody Charge iShares Core MSCI World UCITS ETF USD (Acc) GBP LN","40.000000","0.000000","8","GBP","",""
"2023-10-30","PM10013372","5605319","19264830","2023-10-27","15","Dealing Charge","Dealing Charge iShares Core MSCI World UCITS ETF USD (Acc) GBP LN","20.000000","0.000000","8","GBP","",""
"2023-10-30","PM10013372","5605318","19274323","2023-10-27","14","Custody Charge","Custody Charge Lazard Rathmore Alternative Fund C Acc GBP Hedged","40.000000","0.000000","8","GBP","",""
"2023-10-30","PM10013372","5605318","19274322","2023-10-27","15","Dealing Charge","Dealing Charge Lazard Rathmore Alternative Fund C Acc GBP Hedged","20.000000","0.000000","8","GBP","",""
"2023-10-30","PM10013372","5595864","19274489","2023-10-30","13","Buy Variable Security","Buy 894.83 units of Schroder GAIA Helix Fund Class C Acc Hedged GBP","97331.000000","0.000000","8","GBP","1.000000000000000000","FS36137496"
"2023-10-30","PM10014282","5603158","19264753","2023-10-27","14","Custody Charge","Custody Charge Aberdeen Standard SICAV II - Global Smaller Companies Fund GBP","40.000000","0.000000","8","GBP","",""
"2023-10-30","PM10014282","5603158","19264752","2023-10-27","15","Dealing Charge","Dealing Charge Aberdeen Standard SICAV II - Global Smaller Companies Fund GBP","20.000000","0.000000","8","GBP","",""
"2023-10-30","PM10014282","5603165","19264722","2023-10-27","14","Custody Charge","Custody Charge Fundsmith Equity Feeder I Acc GBP","40.000000","0.000000","8","GBP","",""
"2023-10-30","PM10014282","5603165","19264721","2023-10-27","15","Dealing Charge","Dealing Charge Fundsmith Equity Feeder I Acc GBP","20.000000","0.000000","8","GBP","",""
"2023-10-30","PM10014282","5603159","19264636","2023-10-27","14","Custody Charge","Custody Charge Fidelity Global Dividend Fund GBP W Acc ","40.000000","0.000000","8","GBP","",""
"2023-10-30","PM10014282","5603159","19264635","2023-10-27","15","Dealing Charge","Dealing Charge Fidelity Global Dividend Fund GBP W Acc ","20.000000","0.000000","8","GBP","",""
"2023-10-30","PM10014282","5603162","19274454","2023-10-27","14","Custody Charge","Custody Charge Vanguard UK Short-Term Investment Grade Bond Index Fund GBP","40.000000","0.000000","8","GBP","",""
"2023-10-30","PM10014282","5603162","19274453","2023-10-27","15","Dealing Charge","Dealing Charge Vanguard UK Short-Term Investment Grade Bond Index Fund GBP","20.000000","0.000000","8","GBP","",""
"2023-10-30","PM10014282","5603161","19274447","2023-10-27","14","Custody Charge","Custody Charge Vanguard Global Bond Index GBP Hedged Acc","40.000000","0.000000","8","GBP","",""
"2023-10-30","PM10014282","5603161","19274446","2023-10-27","15","Dealing Charge","Dealing Charge Vanguard Global Bond Index GBP Hedged Acc","20.000000","0.000000","8","GBP","",""
"2023-10-30","PM10014282","5603164","19274415","2023-10-27","14","Custody Charge","Custody Charge iShares UK Credit Bond Index Fund (IE) D Acc GBP","40.000000","0.000000","8","GBP","",""
"2023-10-30","PM10014282","5603164","19274414","2023-10-27","15","Dealing Charge","Dealing Charge iShares UK Credit Bond Index Fund (IE) D Acc GBP","20.000000","0.000000","8","GBP","",""
"2023-10-30","PM10014282","5603168","19274321","2023-10-27","14","Custody Charge","Custody Charge Lazard Rathmore Alternative Fund C Acc GBP Hedged","40.000000","0.000000","8","GBP","",""
"2023-10-30","PM10014282","5603168","19274320","2023-10-27","15","Dealing Charge","Dealing Charge Lazard Rathmore Alternative Fund C Acc GBP Hedged","20.000000","0.000000","8","GBP","",""
"2023-10-30","PM10014282","5603169","19274261","2023-10-27","14","Custody Charge","Custody Charge Morgan Stanley Global Quality Z GBP","40.000000","0.000000","8","GBP","",""
"2023-10-30","PM10014282","5603169","19274260","2023-10-27","15","Dealing Charge","Dealing Charge Morgan Stanley Global Quality Z GBP","20.000000","0.000000","8","GBP","",""
"2023-10-30","PM10014282","5603160","19274676","2023-10-30","83","Sell Variable Security","Sell 5764 units of UBS Bloomberg Barclays TIPS 1-10 UCITS ETF GBP","0.000000","79760.000000","8","GBP","1.000000000000000000","CA4KH258"
"2023-10-30","PM10014686","","19271777","2023-10-29","6","Admin Fee","Flat Administration Fee","104.960000","0.000000","8","GBP","",""
"2023-10-30","PM10014686","","19271776","2023-10-29","47","Investment Advisor Fee","Investment Advisor Fee","1100.200000","0.000000","8","GBP","",""
"2023-10-30","PM10015346","","19271867","2023-10-29","6","Admin Fee","Flat Administration Fee","163.540000","0.000000","16","USD","",""
"2023-10-30","PM10015346","","19271866","2023-10-29","47","Investment Advisor Fee","Investment Advisor Fee","6580.630000","0.000000","16","USD","",""
