"System_Dt","Policy_No","Asset_Tran_Dt","Asset_Tran_Effective_Dt","Price_Dt","Asset_Tran_Fund_ID","Fund_Name","Asset_Tran_ISIN","Asset_Tran_SEDOL","Citi_Code","Asset_Status_ID","Asset_Status","Asset_Tran_Ref","Asset_Tran_Type_ID","Asset_Tran_Type","Asset_Tran_Initial_Units","Asset_Tran_Accumulation_Units","Asset_Tran_Nominal","Asset_Tran_Price","Asset_Tran_Initial_Price","Asset_Tran_Accumulation_Price","Asset_Tran_Curr_ID","Asset_Tran_Curr","Asset_Tran_Status_ID","Asset_Tran_Status","Asset_Tran_Currency_Val","Asset_Tran_Adjustment_Curr_ID","Asset_Tran_Adjustment_Curr","Asset_Tran_Adjustments","Asset_Tran_Profit_and_Loss","Asset_Tran_Exchange_Rate","Asset_Tran_Settlement_Curr_ID","Asset_Tran_Settlement_Curr","Asset_Tran_Settlement_Curr_Val","Category","TransactionID","Asset_Tran_Deal_Ref"
"2023-10-30","PM10013372","2023-10-30","2023-10-25","2023-10-25","","Schroder GAIA Helix Fund Class C Acc Hedged GBP","LU1809996801","BZ1MKF4","","2","Active","FS36137496","6","Buy","","","894.830000","108.770000000000000000","","","8","GBP","1","Completed","97330.660000000","8","GBP","0.340000","","1.000000000000000000","8","GBP","97331.000000","Acquisition","19274489","5595864"
"2023-10-30","PM10014282","2023-10-30","2023-10-26","2023-10-26","","UBS Bloomberg Barclays TIPS 1-10 UCITS ETF GBP","LU1459801947","BYWK760","","2","Active","CA4KH258","42","Sell","","","5764.000000","13.845840000000000000","","","8","GBP","1","Completed","79807.400000000","8","GBP","47.400000","","1.000000000000000000","8","GBP","79760.000000","Disposal","19274676","5603160"
"2023-10-31","QN10021412","2023-10-31","2023-10-30","2023-10-30","47132","Guinness Global Innovators C Acc USD","IE00BQXX3F31","BQXX3F3","","","","","7","Contract Charge","-0.573","-0.015","","","19.342900000000000000","19.342900000000000000","16","USD","","","-11.370000000","","","","","1.000000000000000000","16","USD","-11.370000","","",""
"2023-10-31","QN10021412","2023-10-31","2023-10-30","2023-10-30","47132","Guinness Global Innovators C Acc USD","IE00BQXX3F31","BQXX3F3","","","","","17","Initial Unit Cancellation","-0.495","0.000","","","19.342900000000000000","0.000000000000000000","16","USD","","","-9.570000000","","","","","1.000000000000000000","16","USD","-9.570000","","",""
"2023-10-31","QN10021412","2023-10-31","2023-10-30","2023-10-30","47132","Guinness Global Innovators C Acc USD","IE00BQXX3F31","BQXX3F3","","","","","17","Initial Unit Cancellation","-1.808","0.000","","","19.342900000000000000","0.000000000000000000","16","USD","","","-34.970000000","","","","","1.000000000000000000","16","USD","-34.970000","","",""
"2023-10-31","QN10021412","2023-10-31","2023-10-30","2023-10-30","47132","Guinness Global Innovators C Acc USD","IE00BQXX3F31","BQXX3F3","","","","","30","Policy Fee","0.000","-0.163","","","19.342900000000000000","19.342900000000000000","16","USD","","","-3.150000000","","","","","1.000000000000000000","16","USD","-3.150000","","",""
"2023-10-31","QN10021412","2023-10-31","2023-10-30","2023-10-30","47195","Fidelity Funds Global Dividend A Acc USD","LU0772969993","B81SJB2","","","","","7","Contract Charge","-1.176","-0.031","","","21.630000000000000000","21.630000000000000000","16","USD","","","-26.100000000","","","","","1.000000000000000000","16","USD","-26.100000","","",""
"2023-10-31","QN10021412","2023-10-31","2023-10-30","2023-10-30","47195","Fidelity Funds Global Dividend A Acc USD","LU0772969993","B81SJB2","","","","","17","Initial Unit Cancellation","-1.016","0.000","","","21.630000000000000000","0.000000000000000000","16","USD","","","-21.970000000","","","","","1.000000000000000000","16","USD","-21.970000","","",""
"2023-10-31","QN10021412","2023-10-31","2023-10-30","2023-10-30","47195","Fidelity Funds Global Dividend A Acc USD","LU0772969993","B81SJB2","","","","","17","Initial Unit Cancellation","-3.714","0.000","","","21.630000000000000000","0.000000000000000000","16","USD","","","-80.330000000","","","","","1.000000000000000000","16","USD","-80.330000","","",""
"2023-10-31","QN10021412","2023-10-31","2023-10-30","2023-10-30","47195","Fidelity Funds Global Dividend A Acc USD","LU0772969993","B81SJB2","","","","","30","Policy Fee","0.000","-0.336","","","21.630000000000000000","21.630000000000000000","16","USD","","","-7.260000000","","","","","1.000000000000000000","16","USD","-7.260000","","",""
"2023-10-31","QN10021412","2023-10-31","2023-10-30","2023-10-30","47223","Schroder ISF Global Smaller Companies A Acc USD","LU0240877869","B0WFY99","","","","","7","Contract Charge","-4.497","-0.118","","","2.197220000000000000","2.197220000000000000","16","USD","","","-10.140000000","","","","","1.000000000000000000","16","USD","-10.140000","","",""
"2023-10-31","QN10021412","2023-10-31","2023-10-30","2023-10-30","47223","Schroder ISF Global Smaller Companies A Acc USD","LU0240877869","B0WFY99","","","","","17","Initial Unit Cancellation","-14.186","0.000","","","2.197220000000000000","0.000000000000000000","16","USD","","","-31.160000000","","","","","1.000000000000000000","16","USD","-31.160000","","",""
"2023-10-31","QN10021412","2023-10-31","2023-10-30","2023-10-30","47223","Schroder ISF Global Smaller Companies A Acc USD","LU0240877869","B0WFY99","","","","","17","Initial Unit Cancellation","-3.882","0.000","","","2.197220000000000000","0.000000000000000000","16","USD","","","-8.520000000","","","","","1.000000000000000000","16","USD","-8.520000","","",""
"2023-10-31","QN10021412","2023-10-31","2023-10-30","2023-10-30","47223","Schroder ISF Global Smaller Companies A Acc USD","LU0240877869","B0WFY99","","","","","30","Policy Fee","0.000","-1.283","","","2.197220000000000000","2.197220000000000000","16","USD","","","-2.810000000","","","","","1.000000000000000000","16","USD","-2.810000","","",""
"2023-10-31","QN10021412","2023-10-31","2023-10-30","2023-10-30","47240","PIMCO Global Investment Grade Credit E Acc USD hgd","IE00B3K7XK29","B3K7XK2","","","","","7","Contract Charge","-1.390","-0.036","","","16.380000000000000000","16.380000000000000000","16","USD","","","-23.350000000","","","","","1.000000000000000000","16","USD","-23.350000","","",""
"2023-10-31","QN10021412","2023-10-31","2023-10-30","2023-10-30","47240","PIMCO Global Investment Grade Credit E Acc USD hgd","IE00B3K7XK29","B3K7XK2","","","","","17","Initial Unit Cancellation","-1.200","0.000","","","16.380000000000000000","0.000000000000000000","16","USD","","","-19.650000000","","","","","1.000000000000000000","16","USD","-19.650000","","",""
"2023-10-31","QN10021412","2023-10-31","2023-10-30","2023-10-30","47240","PIMCO Global Investment Grade Credit E Acc USD hgd","IE00B3K7XK29","B3K7XK2","","","","","17","Initial Unit Cancellation","-4.387","0.000","","","16.380000000000000000","0.000000000000000000","16","USD","","","-71.850000000","","","","","1.000000000000000000","16","USD","-71.850000","","",""
"2023-10-31","QN10021412","2023-10-31","2023-10-30","2023-10-30","47240","PIMCO Global Investment Grade Credit E Acc USD hgd","IE00B3K7XK29","B3K7XK2","","","","","30","Policy Fee","0.000","-0.397","","","16.380000000000000000","16.380000000000000000","16","USD","","","-6.500000000","","","","","1.000000000000000000","16","USD","-6.500000","","",""
"2023-10-31","QN10021412","2023-10-31","2023-10-30","2023-10-30","47917","T.Rowe Price Global Growth Equity A USD","LU0382932902","B3F1871","","","","","7","Contract Charge","-0.402","-0.010","","","49.860000000000000000","49.860000000000000000","16","USD","","","-20.540000000","","","","","1.000000000000000000","16","USD","-20.540000","","",""
"2023-10-31","QN10021412","2023-10-31","2023-10-30","2023-10-30","47917","T.Rowe Price Global Growth Equity A USD","LU0382932902","B3F1871","","","","","17","Initial Unit Cancellation","-0.348","0.000","","","49.860000000000000000","0.000000000000000000","16","USD","","","-17.350000000","","","","","1.000000000000000000","16","USD","-17.350000","","",""
"2023-10-31","QN10021412","2023-10-31","2023-10-30","2023-10-30","47917","T.Rowe Price Global Growth Equity A USD","LU0382932902","B3F1871","","","","","17","Initial Unit Cancellation","-1.270","0.000","","","49.860000000000000000","0.000000000000000000","16","USD","","","-63.320000000","","","","","1.000000000000000000","16","USD","-63.320000","","",""
"2023-10-31","QN10021412","2023-10-31","2023-10-30","2023-10-30","47917","T.Rowe Price Global Growth Equity A USD","LU0382932902","B3F1871","","","","","30","Policy Fee","0.000","-0.115","","","49.860000000000000000","49.860000000000000000","16","USD","","","-5.730000000","","","","","1.000000000000000000","16","USD","-5.730000","","",""
"2023-10-31","QN10021412","2023-10-31","2023-10-30","2023-10-30","48002","Jupiter Dynamic Bond L USD Hdg Acc","LU0853555463","B92QYN9","","","","","7","Contract Charge","-1.906","-0.049","","","11.990000000000000000","11.990000000000000000","16","USD","","","-23.440000000","","","","","1.000000000000000000","16","USD","-23.440000","","",""
"2023-10-31","QN10021412","2023-10-31","2023-10-30","2023-10-30","48002","Jupiter Dynamic Bond L USD Hdg Acc","LU0853555463","B92QYN9","","","","","17","Initial Unit Cancellation","-1.646","0.000","","","11.990000000000000000","0.000000000000000000","16","USD","","","-19.730000000","","","","","1.000000000000000000","16","USD","-19.730000","","",""
"2023-10-31","QN10021412","2023-10-31","2023-10-30","2023-10-30","48002","Jupiter Dynamic Bond L USD Hdg Acc","LU0853555463","B92QYN9","","","","","17","Initial Unit Cancellation","-6.017","0.000","","","11.990000000000000000","0.000000000000000000","16","USD","","","-72.140000000","","","","","1.000000000000000000","16","USD","-72.140000","","",""
"2023-10-31","QN10021412","2023-10-31","2023-10-30","2023-10-30","48002","Jupiter Dynamic Bond L USD Hdg Acc","LU0853555463","B92QYN9","","","","","30","Policy Fee","0.000","-0.544","","","11.990000000000000000","11.990000000000000000","16","USD","","","-6.520000000","","","","","1.000000000000000000","16","USD","-6.520000","","",""
