"Run Number","Client Number","Policy Number","Policy Role Code","Policy Role Description","Role Sequence","Retirement Date"
453739,"1000470224",2104865,"LFI","Life Insured",1,20991231
453739,"1000470224",2104865,"OWN","Owner",1,0
453739,"1000747839",2105439,"LFI","Life Insured",1,20991231
453739,"1000747839",2105439,"OWN","Owner",1,0
453739,"1000992057",2108624,"LFI","Life Insured",1,20991231
453739,"1000992057",2108624,"OWN","Owner",1,0
453739,"1000585661",2129973,"LFI","Life Insured",1,20991231
453739,"1000585661",2129973,"OWN","Owner",1,0
453739,"1000989001",2134561,"LFI","Life Insured",1,20991231
453739,"1000989001",2134561,"OWN","Owner",1,0
453739,"1001178479",2138876,"LFI","Life Insured",1,20991231
453739,"1001178479",2138876,"OWN","Owner",1,0
453739,"1000612993",2140098,"LFI","Life Insured",1,20991231
453739,"1000612993",2140098,"OWN","Owner",1,0
453739,"1001192701",2144809,"LFI","Life Insured",1,20991231
453739,"1001192701",2144809,"OWN","Owner",1,0
453739,"1001192701",2144817,"LFI","Life Insured",1,20991231
453739,"1001192701",2144817,"OWN","Owner",1,0
453739,"1001192789",2144884,"LFI","Life Insured",1,20991231
453739,"1001192789",2144884,"OWN","Owner",1,0
453739,"1001196456",2145945,"LFI","Life Insured",1,20991231
453739,"1001196456",2145945,"OWN","Owner",1,0
453739,"1000962220",2148642,"LFI","Life Insured",1,20991231
453739,"1000962220",2148642,"OWN","Owner",1,0
453739,"1000962221",2148642,"LFI","Life Insured",2,20991231
453739,"1000962221",2148642,"OWN","Owner",2,0
453739,"1001259502",2160610,"LFI","Life Insured",1,20991231
453739,"1001259502",2160610,"OWN","Owner",1,0
453739,"1001106519",2163188,"LFI","Life Insured",1,20991231
453739,"1001106519",2163188,"OWN","Owner",1,0
453739,"1001273943",2163188,"LFI","Life Insured",2,20991231
453739,"1001273943",2163188,"OWN","Owner",2,0
453739,"1000762910",2173921,"LFI","Life Insured",1,20991231
453739,"1000762910",2173921,"OWN","Owner",1,0
453739,"1000763339",2174154,"LFI","Life Insured",1,20991231
453739,"1000763339",2174154,"OWN","Owner",1,0
453739,"1000777132",2176921,"LFI","Life Insured",1,20991231
453739,"1000777132",2176921,"OWN","Owner",1,0
453739,"1000779367",2177668,"LFI","Life Insured",1,20991231
453739,"1000779367",2177668,"OWN","Owner",1,0
453739,"1000792443",2180766,"LFI","Life Insured",1,20991231
453739,"1000792443",2180766,"OWN","Owner",1,0
453739,"1000792444",2180766,"LFI","Life Insured",2,20991231
453739,"1000792444",2180766,"OWN","Owner",2,0
453739,"1000792443",2180774,"LFI","Life Insured",1,20991231
453739,"1000792443",2180774,"OWN","Owner",1,0
453739,"1000792444",2180774,"LFI","Life Insured",2,20991231
453739,"1000792444",2180774,"OWN","Owner",2,0
453739,"1000792443",2180791,"LFI","Life Insured",1,20991231
453739,"1000792443",2180791,"OWN","Owner",1,0
453739,"1000792444",2180791,"LFI","Life Insured",2,20991231
453739,"1000792444",2180791,"OWN","Owner",2,0
453739,"1000256311",3027299,"LFI","Life Insured",1,20230201
453739,"1000256311",3027299,"OWN","Owner",1,0
453739,"1000697803",3032740,"LFI","Life Insured",1,20330101
453739,"1000697803",3032740,"OWN","Owner",1,0
453739,"1000488666",3035594,"LFI","Life Insured",1,20440101
453739,"1000488666",3035594,"OWN","Owner",1,0
453739,"1000793450",3048530,"LFI","Life Insured",1,20440701
453739,"1000793450",3048530,"OWN","Owner",1,0
453739,"1000439189",3053601,"LFI","Life Insured",1,20440701
453739,"1000439189",3053601,"OWN","Owner",1,0
453739,"1000590577",3053862,"LFI","Life Insured",1,20450601
453739,"1000590577",3053862,"OWN","Owner",1,0
453739,"1000915483",3055599,"LFI","Life Insured",1,20340601
453739,"1000915483",3055599,"OWN","Owner",1,0
453739,"1000906495",3055768,"LFI","Life Insured",1,20310301
453739,"1000906495",3055768,"OWN","Owner",1,0
453739,"1000906496",3055768,"LFI","Life Insured",2,20310301
453739,"1000906496",3055768,"OWN","Owner",2,0
453739,"1000749619",3057435,"LFI","Life Insured",1,20480201
453739,"1000749619",3057435,"OWN","Owner",1,0
453739,"1000915747",3058148,"LFI","Life Insured",1,20330601
453739,"1000915747",3058148,"OWN","Owner",1,0
453739,"1000802753",3060155,"LFI","Life Insured",1,20380901
453739,"1000802753",3060155,"OWN","Owner",1,0
453739,"1000510656",3060450,"LFI","Life Insured",1,20400201
453739,"1000510656",3060450,"OWN","Owner",1,0
453739,"1000893352",3062382,"LFI","Life Insured",1,20400308
453739,"1000893352",3062382,"OWN","Owner",1,0
453739,"1000893354",3062382,"LFI","Life Insured",2,20400308
453739,"1000893354",3062382,"OWN","Owner",2,0
453739,"1000893352",3062390,"LFI","Life Insured",1,20400308
453739,"1000893352",3062390,"OWN","Owner",1,0
453739,"1000893354",3062390,"LFI","Life Insured",2,20400308
453739,"1000893354",3062390,"OWN","Owner",2,0
453739,"1000909236",3062701,"LFI","Life Insured",1,20410501
453739,"1000909236",3062701,"OWN","Owner",1,0
453739,"1000835033",3062825,"LFI","Life Insured",1,20370201
453739,"1000835033",3062825,"OWN","Owner",1,0
453739,"1000741171",3063763,"LFI","Life Insured",1,20380801
453739,"1000741171",3063763,"OWN","Owner",1,0
453739,"1000869729",3066832,"LFI","Life Insured",1,20271101
453739,"1000869729",3066832,"OWN","Owner",1,0
453739,"1000739256",3069838,"LFI","Life Insured",1,20450401
453739,"1000739256",3069838,"OWN","Owner",1,0
453739,"1000278086",3069879,"LFI","Life Insured",1,20340701
453739,"1000278086",3069879,"OWN","Owner",1,0
453739,"1001106519",3100717,"LFI","Life Insured",1,20521201
453739,"1001106519",3100717,"OWN","Owner",1,0
453739,"1000920199",3101495,"LFI","Life Insured",1,20410601
453739,"1000920199",3101495,"OWN","Owner",1,0
453739,"1000726007",3101657,"LFI","Life Insured",1,20360701
453739,"1000726007",3101657,"OWN","Owner",1,0
453739,"1000920473",3101878,"LFI","Life Insured",1,20360801
453739,"1000920473",3101878,"OWN","Owner",1,0
453739,"1001021206",3103855,"LFI","Life Insured",1,20430329
453739,"1001021206",3103855,"OWN","Owner",1,0
453739,"1000766247",3103938,"LFI","Life Insured",1,20470801
453739,"1000766247",3103938,"OWN","Owner",1,0
453739,"1001022246",3104789,"LFI","Life Insured",1,20430322
453739,"1001022246",3104789,"OWN","Owner",1,0
453739,"1001074413",3105787,"LFI","Life Insured",1,20260901
453739,"1001074413",3105787,"OWN","Owner",1,0
453739,"1001074415",3105949,"LFI","Life Insured",1,20260901
453739,"1001074415",3105949,"OWN","Owner",1,0
453739,"1001236704",3106475,"LFI","Life Insured",1,20430201
453739,"1001236704",3106475,"OWN","Owner",1,0
453739,"1001176470",3106611,"LFI","Life Insured",1,20361001
453739,"1001176470",3106611,"OWN","Owner",1,0
453739,"1001023889",3106668,"LFI","Life Insured",1,20400331
453739,"1001023889",3106668,"OWN","Owner",1,0
453739,"1000962221",3106856,"LFI","Life Insured",1,20510901
453739,"1000962221",3106856,"OWN","Owner",1,0
453739,"1001003847",3108768,"LFI","Life Insured",1,20310417
453739,"1001003847",3108768,"OWN","Owner",1,0
453739,"1001115388",3110030,"LFI","Life Insured",1,20340101
453739,"1001115388",3110030,"OWN","Owner",1,0
453739,"1001023889",3112970,"LFI","Life Insured",1,20400515
453739,"1001023889",3112970,"OWN","Owner",1,0
453739,"1000898420",3113353,"LFI","Life Insured",1,20310901
453739,"1000898420",3113353,"OWN","Owner",1,0
453739,"1000975781",3113561,"LFI","Life Insured",1,20541101
453739,"1000975781",3113561,"OWN","Owner",1,0
453739,"1000934109",3114059,"LFI","Life Insured",1,20420530
453739,"1000934109",3114059,"OWN","Owner",1,0
453739,"1000938333",3114059,"LFI","Life Insured",2,20420530
453739,"1000938333",3114059,"OWN","Owner",2,0
453739,"1000761434",3115122,"LFI","Life Insured",1,20441101
453739,"1000761434",3115122,"OWN","Owner",1,0
453739,"1000975780",3115227,"LFI","Life Insured",1,20481001
453739,"1000975780",3115227,"OWN","Owner",1,0
453739,"1000931660",3115631,"LFI","Life Insured",1,20360901
453739,"1000931660",3115631,"OWN","Owner",1,0
453739,"1000891223",3116620,"LFI","Life Insured",1,20401001
453739,"1000891223",3116620,"OWN","Owner",1,0
453739,"1001030310",3117015,"LFI","Life Insured",1,20430703
453739,"1001030310",3117015,"OWN","Owner",1,0
453739,"1000934374",3119301,"LFI","Life Insured",1,20391001
453739,"1000934374",3119301,"OWN","Owner",1,0
453739,"1000934933",3119351,"LFI","Life Insured",1,20311001
453739,"1000934933",3119351,"OWN","Owner",1,0
453739,"1000934935",3119351,"LFI","Life Insured",2,20311001
453739,"1000934935",3119351,"OWN","Owner",2,0
453739,"1001244773",3120214,"LFI","Life Insured",1,20380501
453739,"1001244773",3120214,"OWN","Owner",1,0
453739,"1000936745",3121348,"LFI","Life Insured",1,20331001
453739,"1000936745",3121348,"OWN","Owner",1,0
453739,"1000936930",3121470,"LFI","Life Insured",1,20411001
453739,"1000936930",3121470,"OWN","Owner",1,0
453739,"1001245965",3122022,"LFI","Life Insured",1,20280401
453739,"1001245965",3122022,"OWN","Owner",1,0
453739,"1001124242",3123245,"LFI","Life Insured",1,20350501
453739,"1001124242",3123245,"OWN","Owner",1,0
453739,"1000689107",3123335,"LFI","Life Insured",1,20411101
453739,"1000689107",3123335,"OWN","Owner",1,0
453739,"1001246854",3123592,"LFI","Life Insured",1,20480301
453739,"1001246854",3123592,"OWN","Owner",1,0
453739,"1000938823",3123821,"LFI","Life Insured",1,20361001
453739,"1000938823",3123821,"OWN","Owner",1,0
453739,"1000938958",3123928,"LFI","Life Insured",1,20401001
453739,"1000938958",3123928,"OWN","Owner",1,0
453739,"1000938959",3123995,"LFI","Life Insured",1,20401101
453739,"1000938959",3123995,"OWN","Owner",1,0
453739,"1001247541",3124610,"LFI","Life Insured",1,20570401
453739,"1001247541",3124610,"OWN","Owner",1,0
453739,"1000931667",3125289,"LFI","Life Insured",1,20361101
453739,"1000931667",3125289,"OWN","Owner",1,0
453739,"1000940591",3126617,"LFI","Life Insured",1,20511001
453739,"1000940591",3126617,"OWN","Owner",1,0
453739,"1001254185",3129768,"LFI","Life Insured",1,20430601
453739,"1001254185",3129768,"OWN","Owner",1,0
453739,"1000893021",3130896,"LFI","Life Insured",1,20380701
453739,"1000893021",3130896,"OWN","Owner",1,0
453739,"1000893022",3130918,"LFI","Life Insured",1,20380801
453739,"1000893022",3130918,"OWN","Owner",1,0
453739,"1001255597",3131692,"LFI","Life Insured",1,20420501
453739,"1001255597",3131692,"OWN","Owner",1,0
453739,"1001255598",3131692,"LFI","Life Insured",2,20420501
453739,"1001255598",3131692,"OWN","Owner",2,0
453739,"1001115401",3133012,"LFI","Life Insured",1,20340701
453739,"1001115401",3133012,"OWN","Owner",1,0
453739,"1001032632",3139168,"LFI","Life Insured",1,20440901
453739,"1001032632",3139168,"OWN","Owner",1,0
453739,"1000952167",3139271,"LFI","Life Insured",1,20370101
453739,"1000952167",3139271,"OWN","Owner",1,0
453739,"1000929048",3143651,"LFI","Life Insured",1,20350401
453739,"1000929048",3143651,"OWN","Owner",1,0
453739,"1001157427",3144308,"LFI","Life Insured",1,20320301
453739,"1001157427",3144308,"OWN","Owner",1,0
453739,"1000256311",3147070,"LFI","Life Insured",1,20330301
453739,"1000256311",3147070,"OWN","Owner",1,0
453739,"1000621820",3147853,"LFI","Life Insured",1,20450901
453739,"1000621820",3147853,"OWN","Owner",1,0
453739,"1001266218",3148789,"LFI","Life Insured",1,20570801
453739,"1001266218",3148789,"OWN","Owner",1,0
453739,"1001268300",3151030,"LFI","Life Insured",1,20531001
453739,"1001268300",3151030,"OWN","Owner",1,0
453739,"1001268301",3151030,"LFI","Life Insured",2,20531001
453739,"1001268301",3151030,"OWN","Owner",2,0
453739,"1001054655",3151264,"LFI","Life Insured",1,20510201
453739,"1001054655",3151264,"OWN","Owner",1,0
453739,"1000914413",3151999,"LFI","Life Insured",1,20330301
453739,"1000914413",3151999,"OWN","Owner",1,0
453739,"1000879478",3156184,"LFI","Life Insured",1,20470601
453739,"1000879478",3156184,"OWN","Owner",1,0
453739,"1000967895",3156770,"LFI","Life Insured",1,20370401
453739,"1000967895",3156770,"OWN","Owner",1,0
453739,"1000920476",3157130,"LFI","Life Insured",1,20370401
453739,"1000920476",3157130,"OWN","Owner",1,0
453739,"1001206331",3159275,"LFI","Life Insured",1,20330601
453739,"1001206331",3159275,"OWN","Owner",1,0
453739,"1001070983",3160182,"LFI","Life Insured",1,20450401
453739,"1001070983",3160182,"OWN","Owner",1,0
453739,"1001070984",3160786,"LFI","Life Insured",1,20390401
453739,"1001070984",3160786,"OWN","Owner",1,0
453739,"1001207156",3161245,"LFI","Life Insured",1,20470601
453739,"1001207156",3161245,"OWN","Owner",1,0
453739,"1000947916",3161404,"LFI","Life Insured",1,20330601
453739,"1000947916",3161404,"OWN","Owner",1,0
453739,"1001207544",3162004,"LFI","Life Insured",1,20470601
453739,"1001207544",3162004,"OWN","Owner",1,0
453739,"1000973643",3163474,"LFI","Life Insured",1,20370701
453739,"1000973643",3163474,"OWN","Owner",1,0
453739,"1001109146",3163583,"LFI","Life Insured",1,20471201
453739,"1001109146",3163583,"OWN","Owner",1,0
453739,"1001109147",3163583,"LFI","Life Insured",2,20471201
453739,"1001109147",3163583,"OWN","Owner",2,0
453739,"1001208963",3164423,"LFI","Life Insured",1,20440901
453739,"1001208963",3164423,"OWN","Owner",1,0
453739,"1001151851",3167121,"LFI","Life Insured",1,20551201
453739,"1001151851",3167121,"OWN","Owner",1,0
453739,"1000963597",3167130,"LFI","Life Insured",1,20420801
453739,"1000963597",3167130,"OWN","Owner",1,0
453739,"1001211310",3169263,"LFI","Life Insured",1,20371101
453739,"1001211310",3169263,"OWN","Owner",1,0
453739,"1000983033",3173861,"LFI","Life Insured",1,20270801
453739,"1000983033",3173861,"OWN","Owner",1,0
453739,"1001015415",3175857,"LFI","Life Insured",1,20560301
453739,"1001015415",3175857,"OWN","Owner",1,0
453739,"1000613673",3175981,"LFI","Life Insured",1,20560201
453739,"1000613673",3175981,"OWN","Owner",1,0
453739,"1001158125",3176349,"LFI","Life Insured",1,20410201
453739,"1001158125",3176349,"OWN","Owner",1,0
453739,"1000987992",3179249,"LFI","Life Insured",1,20521001
453739,"1000987992",3179249,"OWN","Owner",1,0
453739,"1000835986",3180212,"LFI","Life Insured",1,20371101
453739,"1000835986",3180212,"OWN","Owner",1,0
453739,"1001091041",3182313,"LFI","Life Insured",1,20430801
453739,"1001091041",3182313,"OWN","Owner",1,0
453739,"1001161832",3182323,"LFI","Life Insured",1,20410401
453739,"1001161832",3182323,"OWN","Owner",1,0
453739,"1000229658",3183240,"LFI","Life Insured",1,20360501
453739,"1000229658",3183240,"OWN","Owner",1,0
453739,"1001046556",3183647,"LFI","Life Insured",1,20460701
453739,"1001046556",3183647,"OWN","Owner",1,0
453739,"1001162654",3183753,"LFI","Life Insured",1,20520401
453739,"1001162654",3183753,"OWN","Owner",1,0
453739,"1001162653",3183787,"LFI","Life Insured",1,20510401
453739,"1001162653",3183787,"OWN","Owner",1,0
453739,"1001102935",3185615,"LFI","Life Insured",1,20380401
453739,"1001102935",3185615,"OWN","Owner",1,0
453739,"1001164007",3186010,"LFI","Life Insured",1,20460501
453739,"1001164007",3186010,"OWN","Owner",1,0
453739,"1001164019",3186231,"LFI","Life Insured",1,20560401
453739,"1001164019",3186231,"OWN","Owner",1,0
453739,"1001164052",3186255,"LFI","Life Insured",1,20520501
453739,"1001164052",3186255,"OWN","Owner",1,0
453739,"1001164028",3186272,"LFI","Life Insured",1,20410501
453739,"1001164028",3186272,"OWN","Owner",1,0
453739,"1001164030",3186320,"LFI","Life Insured",1,20410501
453739,"1001164030",3186320,"OWN","Owner",1,0
453739,"1001164057",3186328,"LFI","Life Insured",1,20450501
453739,"1001164057",3186328,"OWN","Owner",1,0
453739,"1000754035",3187023,"LFI","Life Insured",1,20490501
453739,"1000754035",3187023,"OWN","Owner",1,0
453739,"1001164252",3187073,"LFI","Life Insured",1,20390501
453739,"1001164252",3187073,"OWN","Owner",1,0
453739,"1001164341",3187270,"LFI","Life Insured",1,20350501
453739,"1001164341",3187270,"OWN","Owner",1,0
453739,"1001165174",3188313,"LFI","Life Insured",1,20410501
453739,"1001165174",3188313,"OWN","Owner",1,0
453739,"1001224878",3189247,"LFI","Life Insured",1,20521001
453739,"1001224878",3189247,"OWN","Owner",1,0
453739,"1001224877",3189255,"LFI","Life Insured",1,20421101
453739,"1001224877",3189255,"OWN","Owner",1,0
453739,"1001225763",3191004,"LFI","Life Insured",1,20431101
453739,"1001225763",3191004,"OWN","Owner",1,0
453739,"1001225764",3191013,"LFI","Life Insured",1,20491101
453739,"1001225764",3191013,"OWN","Owner",1,0
453739,"1000741171",3191372,"LFI","Life Insured",1,20411001
453739,"1000741171",3191372,"OWN","Owner",1,0
453739,"1001170141",3195769,"LFI","Life Insured",1,20360701
453739,"1001170141",3195769,"OWN","Owner",1,0
453739,"1001014566",3195858,"LFI","Life Insured",1,20490601
453739,"1001014566",3195858,"OWN","Owner",1,0
453739,"1001014566",3197778,"LFI","Life Insured",1,20500201
453739,"1001014566",3197778,"OWN","Owner",1,0
453739,"1000401760",5226083,"LFI","Life Insured",1,20311031
453739,"1000401760",5226083,"OWN","Owner",1,0
453739,"1000439188",5234752,"LFI","Life Insured",1,20320930
453739,"1000439188",5234752,"OWN","Owner",1,0
453739,"1000439189",5234752,"LFI","Life Insured",2,20320930
453739,"1000439189",5234752,"OWN","Owner",2,0
453739,"1000440528",5235198,"LFI","Life Insured",1,20320731
453739,"1000440528",5235198,"OWN","Owner",1,0
453739,"1000454024",5239339,"LFI","Life Insured",1,20320930
453739,"1000454024",5239339,"OWN","Owner",1,0
453739,"1000278086",5252873,"LFI","Life Insured",1,20230601
453739,"1000278086",5252873,"OWN","Owner",1,0
453739,"1000510656",5255602,"LFI","Life Insured",1,20330930
453739,"1000510656",5255602,"OWN","Owner",1,0
453739,"1000513169",5256268,"LFI","Life Insured",1,20331031
453739,"1000513169",5256268,"OWN","Owner",1,0
453739,"1000523057",5259712,"LFI","Life Insured",1,20320131
453739,"1000523057",5259712,"OWN","Owner",1,0
453739,"1000523058",5259712,"LFI","Life Insured",2,20320131
453739,"1000523058",5259712,"OWN","Owner",2,0
453739,"1000531850",5263604,"LFI","Life Insured",1,20340430
453739,"1000531850",5263604,"OWN","Owner",1,0
453739,"1000531853",5263604,"LFI","Life Insured",2,20340430
453739,"1000531853",5263604,"OWN","Owner",2,0
453739,"1000540182",5267197,"LFI","Life Insured",1,20340630
453739,"1000540182",5267197,"OWN","Owner",1,0
453739,"1000229170",5312230,"LFI","Life Insured",1,20191201
453739,"1000229170",5312230,"OWN","Owner",1,0
453739,"1000446557",5710473,"LFI","Life Insured",1,20991231
453739,"1000446557",5710473,"OWN","Owner",1,0
453739,"1000447354",5710473,"LFI","Life Insured",2,20991231
453739,"1000447354",5710473,"OWN","Owner",2,0
453739,"1000430400",5714946,"LFI","Life Insured",1,20991231
453739,"1000430400",5714946,"OWN","Owner",1,0
453739,"1000433792",5716158,"LFI","Life Insured",1,20991231
453739,"1000433792",5716158,"OWN","Owner",1,0
453739,"1000311191",5720632,"LFI","Life Insured",1,20991231
453739,"1000311191",5720632,"OWN","Owner",1,0
453739,"1000311192",5720632,"LFI","Life Insured",2,20991231
453739,"1000311192",5720632,"OWN","Owner",2,0
453739,"1000512167",5724047,"LFI","Life Insured",1,20991231
453739,"1000512167",5724047,"OWN","Owner",1,0
453739,"1000730298",6201993,"LFI","Life Insured",1,20991231
453739,"1000730298",6201993,"OWN","Owner",1,0
453739,"1000893955",6202553,"LFI","Life Insured",1,20991231
453739,"1000893955",6202553,"OWN","Owner",1,0
453739,"1000893954",6202685,"LFI","Life Insured",1,20991231
453739,"1000893954",6202685,"OWN","Owner",1,0
453739,"1000470224",6203044,"LFI","Life Insured",1,20991231
453739,"1000470224",6203044,"OWN","Owner",1,0
453739,"1001168536",6203304,"LFI","Life Insured",1,20991231
